drug_name,generic_name
レベチラセタム錠５００ｍｇ「アメル」,レベチラセタム
レベチラセタム錠５００ｍｇ「杏林」,レベチラセタム
レベチラセタム錠５００ｍｇ「サワイ」,レベチラセタム
レベチラセタム錠５００ｍｇ「タカタ」,レベチラセタム
レベチラセタム錠５００ｍｇ「トーワ」,レベチラセタム
レベチラセタム錠５００ｍｇ「日医工」,レベチラセタム
レベチラセタム錠５００ｍｇ「日新」,レベチラセタム
レベチラセタム錠５００ｍｇ「フェルゼン」,レベチラセタム
レベチラセタム錠５００ｍｇ「明治」,レベチラセタム
レベチラセタム錠５００ｍｇ「サンド」,レベチラセタム
レベチラセタム粒状錠２５０ｍｇ「サワイ」,レベチラセタム
レベチラセタム粒状錠５００ｍｇ「サワイ」,レベチラセタム
イーケプラドライシロップ５０％,レベチラセタム
レベチラセタムドライシロップ５０％「ＪＧ」,レベチラセタム
レベチラセタムドライシロップ５０％「ＹＤ」,レベチラセタム
レベチラセタムＤＳ５０％「杏林」,レベチラセタム
レベチラセタムＤＳ５０％「サワイ」,レベチラセタム
レベチラセタムＤＳ５０％「タカタ」,レベチラセタム
レベチラセタムＤＳ５０％「トーワ」,レベチラセタム
レベチラセタムドライシロップ５０％「日医工」,レベチラセタム
レベチラセタムドライシロップ５０％「日新」,レベチラセタム
レベチラセタムドライシロップ５０％「明治」,レベチラセタム
ディアコミットカプセル２５０ｍｇ,スチリペントール
ディアコミットドライシロップ分包２５０ｍｇ,スチリペントール
ディアコミットドライシロップ分包５００ｍｇ,スチリペントール
イノベロン錠１００ｍｇ,ルフィナミド
イノベロン錠２００ｍｇ,ルフィナミド
サブリル散分包５００ｍｇ,ビガバトリン
フィコンパ細粒１％,ペランパネル水和物
フィコンパ錠２ｍｇ,ペランパネル水和物
フィコンパ錠４ｍｇ,ペランパネル水和物
ビムパット錠５０ｍｇ,ラコサミド
ラコサミド錠５０ｍｇ「ＪＧ」,ラコサミド
ラコサミド錠５０ｍｇ「ＶＴＲＳ」,ラコサミド
ラコサミド錠５０ｍｇ「ＹＤ」,ラコサミド
ラコサミド錠５０ｍｇ「アメル」,ラコサミド
ラコサミド錠５０ｍｇ「ケミファ」,ラコサミド
ラコサミド錠５０ｍｇ「サワイ」,ラコサミド
ラコサミド錠５０ｍｇ「サンド」,ラコサミド
ラコサミド錠５０ｍｇ「ダイト」,ラコサミド
ラコサミド錠５０ｍｇ「タカタ」,ラコサミド
ラコサミド錠５０ｍｇ「日新」,ラコサミド
ビムパット錠１００ｍｇ,ラコサミド
ラコサミド錠１００ｍｇ「ＪＧ」,ラコサミド
ラコサミド錠１００ｍｇ「ＶＴＲＳ」,ラコサミド
ラコサミド錠１００ｍｇ「ＹＤ」,ラコサミド
ラコサミド錠１００ｍｇ「アメル」,ラコサミド
ラコサミド錠１００ｍｇ「ケミファ」,ラコサミド
ラコサミド錠１００ｍｇ「サワイ」,ラコサミド
ラコサミド錠１００ｍｇ「サンド」,ラコサミド
ラコサミド錠１００ｍｇ「ダイト」,ラコサミド
ラコサミド錠１００ｍｇ「タカタ」,ラコサミド
ラコサミド錠１００ｍｇ「日新」,ラコサミド
ビムパットドライシロップ１０％,ラコサミド
ラコサミドドライシロップ１０％「ＪＧ」,ラコサミド
ラコサミドドライシロップ１０％「ＹＤ」,ラコサミド
ラコサミドＤＳ１０％「アメル」,ラコサミド
ラコサミドドライシロップ１０％「ケミファ」,ラコサミド
ラコサミドＤＳ１０％「サワイ」,ラコサミド
ラコサミドドライシロップ１０％「サンド」,ラコサミド
ラコサミドドライシロップ１０％「ダイト」,ラコサミド
ラコサミドＤＳ１０％「タカタ」,ラコサミド
ラコサミドドライシロップ１０％「日新」,ラコサミド
フィンテプラ内用液２．２ｍｇ／ｍＬ,フェンフルラミン塩酸塩
ブリィビアクト錠２５ｍｇ,ブリーバラセタム
ブリィビアクト錠５０ｍｇ,ブリーバラセタム
複合アレビアチン配合錠,フェニトイン・フェノバルビタール
ヒダントールＤ配合錠,フェニトイン・フェノバルビタール配合剤
ヒダントールＥ配合錠,フェニトイン・フェノバルビタール配合剤
ヒダントールＦ配合錠,フェニトイン・フェノバルビタール配合剤
アセトアミノフェン,アセトアミノフェン
ポンタール散５０％,メフェナム酸
ポンタール細粒９８．５％,メフェナム酸
ポンタールカプセル２５０ｍｇ,メフェナム酸
ポンタールシロップ３．２５％,メフェナム酸
アセトアミノフェン２０％細粒,アセトアミノフェン
カロナール細粒２０％,アセトアミノフェン
アセトアミノフェン細粒２０％「トーワ」,アセトアミノフェン
カロナール細粒５０％,アセトアミノフェン
アセトアミノフェン２００ｍｇ錠,アセトアミノフェン
カロナール錠２００,アセトアミノフェン
アセトアミノフェン錠２００ｍｇ「ＪＧ」,アセトアミノフェン
