disease_name,disease_kana,icd10_code
ＢＲＡＦ遺伝子変異陽性悪性黒色腫,ＢＲＡＦイデンシヘンイヨウセイアクセイコクショクシュ,C439
ＢＴ型ハンセン病,ＢＴガタハンセンビョウ,A302
Ｂウイルス病,Ｂウイルスビョウ,B004
Ｂ型インスリン受容体異常症,Ｂガタインスリンジュヨウタイイジョウショウ,E13
Ｂ型肝炎,Ｂガタカンエン,B169
Ｂ型肝炎ウイルス感染,Ｂガタカンエンウイルスカンセン,B169
Ｂ型肝炎ウイルス感染の既往,Ｂガタカンエンウイルスカンセンノキオウ,Z861
Ｂ型肝炎ウイルス感染母体より出生した児,Ｂガタカンエンウイルスカンセンボタイヨリシュッセイシタジ,P002
Ｂ型肝炎ウイルス関連血管炎,Ｂガタカンエンウイルスカンレンケッカンエン,B169
Ｂ型肝炎ウイルス性関節炎,Ｂガタカンエンウイルスセイカンセツエン,B169
Ｂ型肝炎合併妊娠,Ｂガタカンエンガッペイニンシン,O984
Ｂ型肝硬変,Ｂガタカンコウヘン,B181
Ｂ型急性肝炎,Ｂガタキュウセイカンエン,B169
Ｂ型劇症肝炎,Ｂガタゲキショウカンエン,B162
Ｂ型代償性肝硬変,Ｂガタダイショウセイカンコウヘン,B181
Ｂ型非代償性肝硬変,Ｂガタヒダイショウセイカンコウヘン,B181
Ｂ型慢性肝炎,Ｂガタマンセイカンエン,B181
Ｂ群溶連菌感染症,Ｂグンヨウレンキンカンセンショウ,A491
Ｂ群溶連菌感染母体より出生した児,Ｂグンヨウレンキンカンセンボタイヨリシュッセイシタジ,P002
Ｂ群溶連菌性化膿性股関節炎,Ｂグンヨウレンキンセイカノウセイコカンセツエン,M0025
Ｂ群溶連菌保菌者,Ｂグンヨウレンキンホキンシャ,Z223
Ｂ群連鎖球菌菌血症,Ｂグンレンサキュウキンキンケツショウ,A401
Ｂ群連鎖球菌性先天性肺炎,Ｂグンレンサキュウキンセイセンテンセイハイエン,P233
Ｂ群連鎖球菌肺炎,Ｂグンレンサキュウキンハイエン,J153
Ｂ群連鎖球菌敗血症,Ｂグンレンサキュウキンハイケツショウ,A401
